,id,job_title,description,location,employer,date_posted,n_applicants,industries,industries_1,industries_2,employment_type,job_function,job_function_1,seniority_level
0,2517136035,"Growth Analyst, EMEA (f/m/x)","DescriptionHey there! We are Gorillas & we are influencing the way people live their lives. Groceries being delivered to your door in 10 minutes is a concept that up until recently was unimaginable. We’re redefining an industry that has never experienced the rapid changes that we’re creating. You can now be a part of generating this change.About The Growth TeamOur mission is to fuel Gorillas business and all of its functions by providing sound user understanding and executing relevant, timely, and personalised interactions across the lifecycle.About This PositionWe are looking for a marketing-savvy data analyst to help us unlock the true potential of two of our most important assets after our people: our data and our expansion! You will use your analytical mind to push all aspects of the Growth forward and empower the team to make their own data-driven decisions. The role sits within the Growth Analytics function and will involve working closely with Marketing teams, like Growth, Brand and local Social Media teams, to define their needs and translate them into actionable and scalable insights.Your Responsibilities Taking ownership of the growth data and its role as the source of reporting throughout the company.  Consistently expanding the scale of our data solutions. Ensuring growth and country stakeholders within the business have access to relevant reporting in clear dashboards using a variety of tools. Presenting analytical findings to senior stakeholders. Be the point of contact between growth, brand, in Market and engineering / tech teams to organise and streamline requests. Applying your expertise to design and implement new metrics across the business. RequirementsYour profile Minimum 1-2 years of experience in analytics, business intelligence or similar roles Experience working in a fast-paced environment, balancing responsibilities and projects A passion for dissecting business and marketing problems to deliver scalable data solutions Able at communicating and presenting information to a range of stakeholders Interested in enabling data driven decision making in marketing and brand Skills Ability to construct dashboards and derive insights from large data-sets (e.g. Tableau, Looker, PowerBI, MixPanel) Familiarity with big data tools, data warehousing concepts and SQL queries Nice to have: experience in writing code in Python / R Traits You are an avid learner and love helping others to learn and grow A passion for building a diverse and inclusive environment You love Growth and want to take Gorillas to the next level  A sense of independence and an ability to establish structures or processes to adapt to a constantly evolving domain and environment A passion for marketing and tech with very close collaboration with both technical and non-technical stakeholders You are resourceful and have great communication skills, we require English If you feel this could be you, please do not hesitate to reach out and apply to become part of Gorillas.BenefitsAs a part of the fastest growing startup in Europe, you can benefit from a steep learning curve from day one with a high career growth trajectory. We love seeing our crew blossom & growing with us! With a transparent company culture & stunning team spirit, Gorillas ensures a dynamic & international environment welcome to anyone! Plus, our flexible working arrangements support people at different stages in their lives. We celebrate diversity & are committed to creating an inclusive environment for all employees.If you want to build something you are proud of & you believe in the vision, we want you in the Gorillas fam!DisclaiimerGorillas is an equal opportunity employer, which means we do not discriminate on the basis of race, colour, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression. We celebrate diversity and are committed to creating an inclusive environment for all employees.Show moreShow lessSeniority levelEntry levelEmployment typeFull-timeJob functionGeneral BusinessMarketingConsultingIndustriesInternetStaffing and RecruitingRetail","Berlin, Berlin, Germany",Gorillas,2021-07-10,32 applicants,Internet,Staffing and Recruiting,Retail,Full-time,General Business,Marketing,Entry level
1,2524909836,Data Scientist (w/m/d),"Über den JobAs a data-driven company we are currently upscaling our BI and Data team. As Data Analyst you will join a team of Data Engineers, Data Product Managers and BI Specialists to create and maintain a culture of data-backed business decisions and support all of CoachHub's departments.Tasks And ResponsibilitiesYou perform data analysis and data-insights for supporting stakeholders’ decision-makingYou analyze customer behavior and operational performance data in order to detect growth opportunities for the Business and improve user experienceYou conduct analytics and A/B testing to evaluate business hypothesesYou define and monitor key metrics, understand root causes of changes to them and identify opportunities to improve our processesYou create and help analyze reports and dashboards to support data-driven decision-making.Dein ProfilYou have strong experience doing analysis like: funnel analytics, customer segmentation, user activity modeling, churn analytics and A/B testingYou have a good understanding of SQL for analytics and experience with Python as a data analyticsYou have experience using Looker or other reporting tools like Tableau or Power BIYou have excellent communication skills in English, both written and oralYou are independent, thrive when given autonomy and ownershipWas wir bietenThe opportunity to join a fast-growing start-up company A lot of personal responsibility and ownershipAn extremely steep learning curve in an interdisciplinary team Your commitment has a direct impact on the businessDiverse learning and training opportunities as well as a personal business coachA reduced Urban Sports Club membershipFree choice of hardwareFun in a highly motivated teamCentral Location Berlin or full-remote work support  If we have aroused your interest, we look forward to receiving your application. Ideally, you should already send us your notice period and your salary expectations.Note on data protection: By submitting your application, you agree that we may process your data during the selection process. Your data will not be passed on to third parties and you can request the deletion of your data at any time.Jetzt bewerbenShow moreShow lessSeniority levelEntry levelEmployment typeFull-timeJob functionEngineeringInformation TechnologyIndustriesInternetStaffing and RecruitingManagement Consulting","Berlin, Berlin, Germany",CoachHub - The digital coaching platform,2021-09-10,0,Internet,Staffing and Recruiting,Management Consulting,Full-time,Engineering,Information Technology,Entry level
2,2395731964,Data Analyst (m/f/d),"Direct message the job poster from KayzenGeorge KoHiring + Operations @ KayzenNote: Previous Experience on Ad-Tech / Mar-Tech is a MUSTAbout KayzenKayzen is the future of mobile marketing — building software that allows mobile app developers to connect with their users. We are a B2B SaaS platform that allows companies to run mobile programmatic marketing in-house.Programmatic marketing, put simply, is the process of automating the buying and selling of digital ads in real-time. Programmatic in-housing takes this one step further by allowing advertisers to fully own the technology stack and skills required in this process.Programmatic in-house is still in its early days when it comes to the mobile advertising market. This is where we have impact!The TeamYou will work with a carefully selected, diverse and globally distributed team from customer success, engineering, data science, design, product and more. We are highly motivated and aligned in our quest to disrupt the multi-billion dollar ad-tech industry.We would like you to be part of our journey, as our Data Analyst (m/f/d).The RoleAs our Data Analyst, you will report directly to our CPO/Co-Founder. Your primary focus will be on building analytics and product features on top of ~10 TB of data that we store every single day across various data centres. You will be in an important role in deriving valuable insights to both our business teams and customers. Apart from your primary tasks, we would love to see you having a growth mindset on contributing to Kayzen’s success. ResponsibilitiesAnalyse several Terabytes of structured data generated per day and identify patterns to derive business recommendationsFormulate questions which help us improve business KPIs and lead your data analysis to find profound answers to those questionsRun data-driven business investigations aiming to improve the performance of our systems through better understanding of the massive amounts of data we have, e.g. to reduce fraud, improve conversion rates, allow for more precise targeting of users and moreWork closely with our client success team to understand our clients' needs and develop ideas on how to solve them with smart data analyticsProvide inputs and recommendations for our data science models and work closely with data scientists to enhance the precision of our prediction modelsWork closely with engineering and product and contribute in all phases of the Product Development Lifecycle Key QualificationsExpertise in data modelling, access, processing and data visualizationStrong analytical skills and experience with Business Intelligence tools and languages (SQL, Python, R, Tableau or other data visualization tools)Comfortable with Big data technologies (Hadoop, MapReduce, Hive, Pig etc)A willingness to dive deep, experiment rapidly and get things doneHigh degree of pragmatism and business outcome-driven data analysisAttention to detail, data accuracy, and quality of outputBeing passionate about creating great products and experiences for our customersHigh levels of creativity and quick problem-solving capabilities, a self-starter with a goal-driven focusWhat do we offer?A unique opportunity to be part of the change of the Adtech spaceA high degree of responsibility and independenceDirect, day-to-day work experience with the managementA fun, driven, and multinational team in India and GermanyFlexible work-from-home arrangement26 days of annual leaveShow moreShow lessEmployment typeFull-time","Berlin, Germany",Kayzen,2021-08-10,0,,,,Full-time,,,
3,2529270111,Junior Data Analyst (m/w/d),"THOMAS SABO ist ein innovatives, internationales Unternehmen im Bereich Schmuck, Uhren und Accessoires, das Lifestyle-Produkte für modeorientierte, trendbewusste Frauen und Männer designt und weltweit vertreibt.Zur Unterstützung unseres Teams im Headquarter in Lauf suchen wir ab sofort einenJUNIOR DATA ANALYST (M/W/D)Ihre Hauptaufgaben Eigenständige Durchführung und Erfolgsmessung von (Teil-)Projekten mit analytischem Hintergrund im Kontext unserer Endkundendaten Unterstützung bei der Erstellung von zur Planung, Durchführung und Begleitung von Projektarbeiten aus den Bereichen CRM & Loyalty (THOMAS SABO Privilege Club) Mitgestaltung und Weiterentwicklung einer Kennzahlenbasierten CRM-Reporting- und Analysestruktur rund um den Bereich unserer Endkundenprozesse, -daten und -kampagnen Mitwirkung bei der Bildung von aussagekräftigen KPIs zur effizienten Planung, Steuerung und Weiterentwicklung des B2C-Endkundengeschäfts Koordinierung der Anreicherung relevanter Customer Insights innerhalb des CRM-Systems Monitoring von Datentransporten und Sicherstellung der Qualität der Marketing-Kennzahlen Erstellung von Wirtschaftlichkeitsanalysen und Forecasts zur Geschäftsentwicklung Umsetzung von Auswertungen und Ad-hoc-Analysen für die Bereiche CRM & Loyalty Aufbau, Visualisierung und Weiterentwicklung von Management-Dashboards Mitwirkung im Zuge der Identifizierung, Bildung und Verwaltung von Kundenclustern sowie von Kundenprofilen auf Basis von Personas Ihre Qualifikation Erfolgreich abgeschlossenes Hochschulstudium im Bereich Statistik, Wirtschaft, Informatik oder einer vergleichbaren Studienrichtung Bereits absolvierte Praktika und/oder erste praktische Berufserfahrungen im Bereich Datenanalyse, Marketing, CRM Gute analytische Fähigkeiten sowie ein ausgeprägtes Verständnis von Zahlen und betriebswirtschaftliche Zusammenhänge gepaart mit einer lösungsorientierten, zielstrebigen und strukturierten Arbeitsweise Rasche Auffassungsgabe und hoher Grad an Eigeninitiative Technisches Verständnis von Datenbanken und Online-Plattformen sowie grundlegende Kenntnisse Gespür für Kundenbedürfnisse und Trends sowie für Zielgruppen Sehr gute MS Office-Kenntnisse (speziell Excel und PowerPoint) Gute bis sehr gute Englischkenntnisse in Wort und Schrift Ausgeprägte Kommunikationsstärke und Teamfähigkeit Erste Erfahrungen in der Anwendung und Umsetzung von Methoden der Kundensegmentierung sowie Basiskenntnisse über datenbankgestützte IT-Systeme und deren Abfrage- und Datenmodellierungssprachen wünschenswert Wir Bieten Mitarbeit in einem freundlichen, offenen und motivierten Unternehmen Schönes und modernes Arbeitsumfeld Möglichkeit zur Interaktion mit vielen Ländern Vielfältige Gestaltungsmöglichkeiten Interessante und abwechslungsreiche Tätigkeit Gute Anbindung an die öffentlichen Verkehrsmittel und die Autobahn, großer Mitarbeiterparkplatz am Firmengelände Zahlreiche Firmen Benefits (Firmeneigene Kantine, Fitnessraum, Mitarbeiteraktionen u.v.m.) Wir freuen uns auf Ihre vollständige, aussagekräftige Bewerbung mit Angabe des frühest-möglichen Eintrittstermins und Ihrer Gehaltsvorstellung über unser Online-Be­wer­bungs­formular.Bei Rückfragen können Sie sich gerne an Frau Katrin Szewczyk oder Frau Tamara Knopp (09123/9715-0) wenden. THOMAS SABO GmbH & Co. KGwww.thomassabo.comShow moreShow lessSeniority levelEntry levelEmployment typeFull-timeJob functionInformation TechnologyProject ManagementMarketingIndustriesImport and ExportRetailConsumer Goods","Lauf an der Pegnitz, Bavaria, Germany",THOMAS SABO,2021-06-10,0,Import and Export,Retail,Consumer Goods,Full-time,Information Technology,Project Management,Entry level
4,2473921351,Junior Business Analyst International Payments,"DescriptionCome build the future with us.Our overall mission is simple: We want Amazon to be the place where our customers can find, discover and buy anything online. Whatever our customers want, we will find the means to deliver it. With your help, Amazon will continue to enable people to discover new worlds and implement innovation. This is your chance to make history.Amazon is looking for Junior Payments Business Analyst, based in Berlin.As one of the largest e-commerce companies in the world, Amazon processes billions of secure on-line transactions via a number of payment mechanisms, including credit cards, direct debit and electronic gift certificates. Transactions are processed on behalf of thousands of merchants, including Amazon.com. Amazon is known across the globe as the most trusted company on the Internet. We are committed to delivering an exceptional customer experience.The Payments Services owns and maintains the software which processes 20+ payment methods worldwide. The Business Operations Team supports the larger Payments Services organization which includes software development, product management and technical operations. The Business Operations team is the first contact for payment transactional issues, receiving escalations from internal clients such as Customer Service, Finance, Accounting and Fraud as well as third party partners and banks relied upon to process payments. Additionally this team is responsible for driving operational efficiencies and escalation reduction opportunities. This team also manages the operational relationship with third party payment partners, advocating for customer experience and driving operational improvements.The Payments Business Analyst is responsible for driving operational excellence across global payments product. In this role you will identify and drive to resolution payments issues impacting customers on a global scale. You will work to identify, execute, and drive projects with internal and external business partners to improve the Customer Payments Experience across Amazon. You will collaborate with teams across Amazon to improve business processes to increase operational efficiencies.The ideal candidate is a motivated self-starter that can work independently in a fast paced, ambiguous environment with limited supervision. He or she must be a fast learner, who can quickly absorb the nuances of Amazon's varied payment offerings as well as the behavior of Amazon's internal systems. He or she will be analytical in their decision making, with a demonstrated ability to drive issues to completion.Job Responsibilities Include Work in a deep area of coverage, routinely working on issues ranging from small to large number of customers impacted and driving root cause resolution with engineering teams and/or external partners. Manage operational workflows working with internal business teams in small to medium sized geographies or products. Identify and drive continuous improvement activities. Serves as escalation point for program / project team members. Owns, tracks, or escalates issues to ensure that they are addressed, documented, and resolved. Displays energy and initiative in solving problems. Will follow all possible avenues to get the job done, are proactive. Work requires creativity and judgment. Responsibilities include both routine and non-routine in nature and vary from day to day. Identify and evaluate potential risks/obstacles with minimal direction from program managers. Consult, determine, and execute appropriate corrective action. Proactively drive customer experience and operational excellence for payment methods used by Amazon customers. Successfully build business requirements that technical teams use to implement projects you sponsor.About Our RewardsWe’ll expect you to go the extra mile, but we’ll also make sure you’re well rewarded. As well as a competitive salary and stock units we offer a host of other benefits.If you thrive in a challenging and fast-paced environment, you’ll meet your match with us, as you will be part of a vibe of constant improvement, where the things you do one moment, you will not necessarily be doing 6 months later. We don’t like to sit still, which is why we always treat every day like the first day. A day to make more good things happen for our customers. It’s that kind of spirit that drives our success now and keeps us ahead of the competition in the future. And you could be part of it. It’s as simple as this: Work Hard. Have Fun. Make History.Sounds interesting? We look forward to your application. Please apply online and upload your CV and a letter of motivation in English in one document (max. 5 MB).By submitting your resume and application information, you authorize Amazon to transmit and store your information in the Amazon group of companies' world-wide recruitment database, and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies.Basic QualificationsFor this position, we expect.. Proficiency in German and English is a Must BA/BS degree Several years relevant experience in customer facing role Demonstrated superior written and oral communications skills with the ability to interact with internal customers and external partners in a professional mannerFurther Qualifications Would Be a Plus..PREFERRED QUALIFICATIONS Turkish Language proficiency French Language proficiency Italian Language proficiency Payments industry experience Proficiency with SQL, VBA, HTML Strong analytical skills with demonstrated problem solving ability. Skilled in prioritization. Makes the right tradeoffs between schedule, resources, and scope in order to address major risks, challenges and obstacles. Data driven and can successfully obtain and use data to support arguments. Previous experience in which high levels of initiative, judgment, and tact has been demonstrated. Proven ability to operate in high pressure situations and successfully handle multiple priorities and possess a high level of discipline while remaining flexible. Candidate should possess superior customer service skills in dealing with users at all levels in a team environment. Excellent judgment and independent decision making skills. Proven ability to interact effectively in a cross-functional team. Proficient in Microsoft Office suite.Are you interested? We look forward to receiving your application. Please submit your online application including your CV and covering letter in English.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice to know more about how we collect, use and transfer the personal data of our candidates. For individuals with disabilities who would like to request an accommodation or any other assistance, please let the recruiting team know and they will support you with the necessary actions throughout the interview process.Did you know that Amazon is offering various jobs in part-time? If you want to apply, please filter for “part-time” in the job type search section on amazon.jobs.Company - Amazon Deutschland Servcs GmbHJob ID: A1434109Show moreShow lessSeniority levelEntry levelEmployment typeFull-timeJob functionGeneral BusinessManagementStrategy/PlanningIndustriesComputer SoftwareInformation Technology and ServicesInternet","Berlin, Berlin, Germany",Amazon,2021-06-10,34 applicants,Computer Software,Information Technology and Services,Internet,Full-time,General Business,Management,Entry level
0,2539826762,Data Analyst,"Discover and define new process improvement opportunities across all departments (customer experience, medical, sales, finance, internationalization and more... ) Advocate data informed decision making within the organisation Educate and guide stakeholders to design and implement self-service dashboards in Looker Be part of a diverse data team of analysts, engineers and scientists working together on exciting projectsWhat you should bringAt least 3 years of experience in Business Intelligence and Data AnalyticsYou enjoy pro-actively communicating with people and managing stakeholder relationshipsExperience working with Looker, familiarity with Amazon RedshiftSolid understanding of relational and analytical database structuresAbility to understand, structure and quantify complex business problemsStrong mindset to prioritize problems based on business valueYou like to share your knowledge with your team and are eager to learn and improveYou have a solid technical understanding of coding styles (DRY), SQL and ETL processesWork-life balance: a family-friendly working environment, flexible working hours, and unlimited home office daysCompany benefits: A competitive salary package, discount on our aligners for you and your friends, a digital food subsidy program, and up to 75% discount in partner companiesPersonal and professional development: an award-winning feedback cycle combined with an educational budget for internal and external training opportunities (such as language courses, leadership training and mentoring)Your life at PlusDental: An international and diverse team (40+ nationalities), regular events, modern work equipment, a comfortable working space with air conditioning and a rooftop terrace, and a fully stocked kitchen with snacks and drinks Learn more about our benefitsAt PlusDental we are committed to providing a friendly, safe and welcoming environment for everyone who works here or with us, regardless of gender, gender identity and expression, sexual orientation, disability, physical appearance, body size, race, age, or religion (or lack thereof).Show moreShow lessSeniority levelEntry levelEmployment typeFull-timeJob functionInformation TechnologyIndustriesComputer Software","Berlin, Berlin, Germany",PlusDental,2021-09-10,0,Computer Software,,,Full-time,Information Technology,,Entry level
1,2506225023,Data Scientist (Labs),"PositionKAYAK is looking for people who love working with data and have a strong interest in machine learning systems, from recommender systems to reinforcement learning to vision to natural language processing. Good candidates will be well-versed in recent advances in machine learning and will be comfortable quickly testing and iterating on new ideas. Positions at different levels of seniority are available.KAYAK Labs, specifically, is a cross-cutting team focused on riskier projects and innovation across the business. Leveraging ML/AI, optimization, and our unique data assets, we aim for novel, impactful products and breakthrough improvements. We seek to distinguish our brand, to delight our users, and to help our customers experience the world through travel with confidence and peace-of-mind.As part of the Labs team, you’ll collaborate with strong researchers and engineers, and your work will have tangible impact. You will be challenged; you will have an opportunity to shape our business, and by extension, the wider travel industry. You will expand your competence and explore new technologies at the intersection of AI, data engineering, computation, and product delivery at scale.ResponsibilitiesFrame, design and execute your own solutions to modeling problems that will improve user experience and/or optimize key metrics important to the business. Conduct experiments and engage in rapid-prototyping of ideas, making creative use of the data and resources at your disposal. Implement designs in a stable, maintainable, and scalable production-ready form. Extract, process and leverage massive amounts of data to drive successful projects. Engage in group problem-solving, and collaborative team efforts. Communicate and share results in a clear and concise manner.QualificationsComfortable with math, statistics, systems design and coding to the extent necessary to tackle industrial machine learning and data science challenges. A PhD in a quantitative field (computer science, statistics, mathematics, operations research, science, engineering, etc.), is preferred and is a good indicator of sufficient preparation, but is not strictly required: what you can do (or quickly learn to do) is more important. Exposure to a minimum introductory level treatment of the core concepts and methods in machine learning, and some applied experience deploying those methods towards solving data science problems. Familiarity with current machine learning development ecosystems (Python, PyTorch / TensorFlow, Git, etc.) Comfortable collaborating in a dynamic, cross-functional team: you know how to listen, ask questions, build consensus, advocate (with data), and share success. You are willing to assume leadership and ownership over technological, business, or team responsibilities. Strong written and verbal communication skills: you can communicate clearly and effectively with peers and non-technical stakeholders alike. You can explain your plan for solving a business problem clearly, and document your work concisely.Bonus QualificationsWorking knowledge of advanced machine learning theory and methods, whether through experience or (graduate) coursework. Direct experience applying ML/AI in a business environment, and experience distilling high-level business challenges down to concrete modeling problems. Familiarity with bash scripting, relational databases. Familiarity with CI/CD tools and procedures, containerization, and horizontal scaling in latency sensitive ML-centric / production inference settings. Research publication track-record.About KAYAKAt KAYAK we help millions of travelers around the globe make confident travel decisions. KAYAK searches other sites to show travelers the information they need to find the right flights, hotels, rental cars and vacation packages and is the world's leading travel search engine.As an employee of KAYAK, you will be part of a global network that includes OpenTable and KAYAK's portfolio of metasearch brands including Swoodoo, checkfelix, momondo, Cheapflights, Mundi and HotelsCombined. Many employees are dedicated to one brand, but we all have the benefit of using each other's strengths and insights. Together, we're able to help people experience the world through dining and travel.KAYAK is part of Booking Holdings Inc. and operates sites in more than 60 countries and territories.Benefits And Perks6 weeks paid vacation Day off on your birthday Generous retirement plans Annual education budget * Free lunch catering three days per week * Public transportation subsidies * Free German classes * Free Yoga classes * Free massages from Wellnow * No stupid meetings Drinks, coffee, snacks, games etc Regular team events and volunteering opportunities Sport teams (Football, Volleyball, Basketball) Flexible hours In-house gym facilities Universal paid parental leave currently paused due to COVIDDiversity and Inclusion at OpenTable/ KAYAKWe aspire to have a workplace that reflects all of the diverse communities we serve. We know that when we have diverse teams we produce more innovative ideas, products, services, and better business outcomes for our stakeholders. OpenTable/KAYAK is proud to be an Equal Opportunity Employer and we welcome and encourage candidates from all backgrounds and experiences to apply for roles on our team. Whoever you are, just be you.We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.Show moreShow lessSeniority levelEntry levelEmployment typeFull-timeJob functionEngineeringInformation TechnologyIndustriesInternetLeisure, Travel & TourismInformation Technology and Services","Berlin, Berlin, Germany",KAYAK,2021-08-10,55 applicants,Internet,"Leisure, Travel & Tourism",Information Technology and Services,Full-time,Engineering,Information Technology,Entry level
2,2538177012,Data Scientist (m/f/d),"As a data scientist at Viessmann, you will develop algorithms to generate added value from data, using in particular the data from our IoT products. You will contribute to the development of digital services for our customers as well as to the optimization of our products and processes.Your impact Apply your expertise in data mining, prediction, and statistical analysis to see beyond the numbers  Find and specify relevant use cases to increase customer satisfaction and reduce their carbon footprint  Collaborate with our R&D Team on leveraging our existing IoT machines in the field for product optimization and application development Use your machine learning and AI knowledge to empower advanced data analyses and predictive maintenance Co-create digital solutions in collaboration with different departments in order to enhance customer experience Create prototypical data pipelines to evaluate your insights on a larger scale Cooperate on the productive implementation of your prototypes with our Data Engineers using the Hadoop ecosystem (including Databricks, PySpark) and the Microsoft Azure Stack Who You AreYou are a naturally curious person with a problem-solving mindset. Thanks to your strong communication skills, you have the ability to present complex relationships in a comprehensible way and also enjoy working in cross-functional teams. In addition to that, you have the following qualifications: Master's degree in a quantitative field (mathematics, computer science or physics) with a strong mathematical background (statistics, algebra etc.)  Good knowledge of programming languages, especially Python and its Data Science ecosystem (pandas, scikit-learn, etc.)  Experience in data preparation, data modeling, (exploratory) data analysis, and visualization, as well as machine learning and AI  Experience in cloud computing (Azure, AWS, Google)  Experience with Big Data technologies and distributed computing (PySpark, Dask, etc.)  Experience in working with databases (SQL, NoSQL) and with version control systems (Git) is a plus  Familiarity with business intelligence tools like PowerBI is a plus  Fluency in English, German is a plus Even if you don´t fulfill all of the above but are ready to take this challenge on as a next step, go ahead and press ""Apply"" anyway. We love your spirit!What Makes Us SpecialOur employees are the key to make our vision come alive. With that in mind, we've created a range of perks for our employees, or as we like to call them, Viessmann family members: The opportunity to do meaningful work that has a direct impact on the organization, our communities & generations to come Thirty annual vacation days  Flexible mobile working options together with the needed technological support Support for future provision through a company pension scheme Subsidized meals in our marketplace restaurant, complete with hangout areas for relaxing and having informal meetings Job Bike and charging stations for your E-car at our Headquarters Support for the whole family: Parent-Child Office, Kids Camp during those long summer holidays, and more Last, but not least: Fun at work and an atmosphere that encourages your ideas! Who We AreLarge corporations tend to think in quarters. Viessmann thinks in generations. With 100+ years of industry expertise, more than 12,000 colleagues, and a turnover of over two billion Euros in 120 countries, we continue to address the most important issues of our time. The energy revolution is here and Viessmann is leading the way in not only sustainability but in the digitalization of energy offerings. Our Headquarters in Allendorf has reduced CO2 emissions by 80%, and by doing so have already fulfilled the government's climate policy goals for 2050. And this is just the start. We develop innovative and customer-centric climate solutions that help safeguard our environment across the globe. How do we do this? Through a multi-tiered strategy that includes investing in our own start-up ventures that complement our world-class product offerings in heating, cooling, and industrial systems.Show moreShow lessSeniority levelEntry levelEmployment typeFull-timeJob functionEngineeringInformation TechnologyIndustriesInformation Technology and ServicesComputer SoftwareInternet","Allendorf, Hesse, Germany",Viessmann,2021-05-07,35 applicants,Information Technology and Services,Computer Software,Internet,Full-time,Engineering,Information Technology,Entry level
3,2485112362,Data Analyst (f/m/div),"Direct message the job poster from Travian GamesCarola KnerrDo what you love and love what you doTravian Games GmbH, based in Munich, is a world-renowned self-publishing developer of online games. The company offers its customers complex and multi-layered worlds of experience that are distinguished by their gaming depth, guaranteeing long-lasting gaming enjoyment for the players. A motivated team develops and markets online entertainment for all age groups. Currently, Travian Games offers the following games: Travian: Legends, Rail Nation, Travian Kingdoms, goalunited LEGENDS, Miramagia, Hyperdrome, UnitedGP and Arkheim – Realms at War. They are translated into up to 39 languages and can therefore be enjoyed by fans of long-lasting gaming entertainment all around the world.QUESTYou develop actionable reports on a weekly/monthly basisYou consolidate, validate and aggregate data from different data sourcesYou design and develop complex statistical modelsYou interpret the data and analysis results with goal-oriented recommendationsIn close contact with our game centers and service departments, you provide ongoing in-house data-analytics consulting (including in-game tracking and in-game analytics)You identify areas for further development and improvement of our gamesYou design and implement KPIs that will be used company-wideSKILLSYou have successfully completed studies in a data-oriented discipline (e.g. statistics, mathematics, business informatics)You have experience in data analysisYou have experience in working with SQL, R and/or PythonYou have basic knowledge of tracking toolsYou have an in-depth understanding of analysis and confident handling of large data setsYou have very good and goal-oriented communication skillsYou have a good command of written and spoken EnglishYou are passionate in gamesREWARDSRegular Training & DevelopmentFree RefreshmentsChoose Your WeaponGym CooperationCreative Times & TalksBenefit Regular Socializing & EventsShow moreShow lessSeniority levelEntry levelEmployment typeFull-timeJob functionAnalystIndustriesComputer Games","Munich, Bavaria, Germany",Travian Games,2021-08-10,32 applicants,Computer Games,,,Full-time,Analyst,,Entry level
4,2512393655,"Data Analyst - MineSpans, Basic Materials","Apply NowQualificationsMaster's degree in geology, mineral economics, mining engineering, metallurgical engineering or material science from a reputed instituteWork or internship experience in market research, market analysis, supply and demand analysis, price analysis, economic analysis or database buildingInterest in learning about the industry dynamics of the mining and metals sectorSteel or aluminum market knowledge/experience is a plusSuperior problem-solving and analytical skillsWilling to work in a highly demanding and result-oriented team environmentSelf-motivated and service-orientated work ethicExcellent written and oral communication skillsFluency in German language required in order to be based in Germany Who You'll Work WithYou'll work with our MineSpans team in Wroclaw, Lisbon, Dusseldorf or Brussels. MineSpans is part of McKinsey's Basic Material practice.MineSpans provides mining companies with the strategic business intelligence to support their market analysis and understanding of the metals and mining sector industry dynamics. It combines advanced analytics, a comprehensive database of mining operations, and global mining expertise. MineSpans enables clients to assess and improve their views on costs, supply and demand across mining commodities like iron ore, copper, gold, EV-battery materials, steel, aluminum and others.What You'll DoYou will do research on commodity markets across the Basic Materials domain.In your role, you will help maintain and develop a comprehensive database of mining operations. You will also analyse mines in depth in order to develop a deep understanding on the market.Additionally, you will participate in the company’s knowledge-building efforts by creating knowledge packs around your focus area. You will support consulting teams and clients to conduct auxiliary analyses and you will also have the chance to guide a small team of researchers.Show moreShow lessSeniority levelEntry levelEmployment typeFull-timeJob functionProductionAnalystConsultingIndustriesMining & Metals","Düsseldorf, North Rhine-Westphalia, Germany",McKinsey & Company,2021-05-08,0,Mining & Metals,,,Full-time,Production,Analyst,Entry level
